"CaseNumber","OccurredOn","Offense","Offense_IBR_Code","Offense_IBR_CrimeAgainst","OffenseCompleted","LocationType","ReportingAgency","PostalCode","Division","Beat","ReportingArea","Municipality"
"25-0001323","2025 Jun 10 01:00:47 PM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Greenbelt Police","20770","I","GB2","02071","GREENBELT"
"26-0000916","2026 Apr 21 04:21:48 AM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Greenbelt Police","20770","I","GB2","0209","GREENBELT"
"26-0001550","2026 Jun 20 03:15:00 PM","Stolen Vehicle","240","Property","true","Shopping Mall","Hyattsville City Police","20782","I","C3","01763","HYATTSVILLE"
"26-0001263","2026 May 21 08:00:00 PM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Hyattsville City Police","20782","I","B5","01655","HYATTSVILLE"
"24-0074990","2024 Dec 17 12:01:00 AM","Stolen Vehicle","240","Property","true","Highway / Road / Alley","Prince George's County Police","20781","I","B3","0239","PG COUNTY"
"26-0002888","2026 Jan 15 05:37:00 PM","Stolen Vehicle","240","Property","true","Residence / Home","Prince George's County Police","20781","I","B3","0239","PG COUNTY"
"26-0011180","2026 Mar 05 03:30:00 AM","Stolen Vehicle","240","Property","true","Residence / Home","Prince George's County Police","20783","I","A6","0111","PG COUNTY"
"25-0029376","2025 May 31 12:00:00 AM","Stolen Vehicle","240","Property","true","Highway / Road / Alley","Prince George's County Police","20783","I","A7","0107","PG COUNTY"
"24-0002724","2024 Nov 14 08:30:00 PM","Stolen Vehicle","240","Property","false","Highway/Road/Alley","Hyattsville City Police","20781","I","A1","01301","HYATTSVILLE"
"25-0000665","2025 Mar 14 11:00:14 AM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Hyattsville City Police","20782","I","C3","01603","HYATTSVILLE"
"25-0034940","2025 Jun 27 07:00:42 AM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Prince George's County Police","20783","I","A6","0111","PG COUNTY"
"25-0006918","2025 Feb 08 10:15:58 AM","Stolen Vehicle","240","Property","true","Church / Synagogue / Temple","Prince George's County Police","20740","I","B6","0162","PG COUNTY"
"25-0001028","2025 Jun 26 06:00:00 AM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Bladensburg Police","20710","I","B28","02651","BLADENSBURG"
"25-0061773","2025 Nov 04 09:00:00 PM","Stolen Vehicle","240","Property","true","Residence / Home","Prince George's County Police","20783","I","A6","0114","PG COUNTY"
"25-0001059","2025 May 10 08:00:00 PM","Stolen Vehicle","240","Property","false","Parking Lot / Garage","Greenbelt Police","20770","I","2B","0207","GREENBELT"
"24-0064412","2024 Oct 28 11:30:00 PM","Stolen Vehicle","240","Property","true","Parking Lot/Garage","Prince George's County Police","20903","I","A7","0101","PG COUNTY"
"26-0001792","2026 Jul 12 07:00:00 PM","Stolen Vehicle","240","Property","true","Highway / Road / Alley","Hyattsville City Police","20782","I","B4","01324","HYATTSVILLE"
"25-0019767","2025 Apr 15 02:50:00 AM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Prince George's County Police","20740","I","B63","0206","COLLEGE PARK"
"25-0023789","2025 May 03 10:51:22 AM","Stolen Vehicle","240","Property","true","Residence / Home","Prince George's County Police","20783","I","A6","0111","PG COUNTY"
"25-0022395","2025 Apr 27 10:00:14 AM","Stolen Vehicle","240","Property","true","Highway / Road / Alley","Prince George's County Police","20784","I","B1","0248","PG COUNTY"
"25-0025545","2025 May 14 06:08:00 AM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Prince George's County Police","20783","I","A4","0116","PG COUNTY"
"24-0051320","2024 Aug 31 09:20:00 AM","Stolen Vehicle","240","Property","true","Parking Lot/Garage","Prince George's County Police","20706","I","B5","0238","PG COUNTY"
"26-0025717","2026 May 14 10:00:44 PM","Stolen Vehicle","240","Property","true","Residence / Home","Prince George's County Police","20706","I","B5","0256","PG COUNTY"
"26-0018918","2026 Apr 10 02:00:00 PM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Prince George's County Police","20782","I","A2","0135","PG COUNTY"
"25-0001007","2025 Apr 19 05:00:00 PM","Stolen Vehicle","240","Property","true","Highway / Road / Alley","Hyattsville City Police","20781","I","A1","01301","HYATTSVILLE"
"24-0053404","2024 Sep 09 11:16:31 PM","Stolen Vehicle","240","Property","false","Highway/Road/Alley","Prince George's County Police","20737","I","B3","0232","PG COUNTY"
"25-0051009","2025 Sep 12 11:00:00 PM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Prince George's County Police","20784","I","B2","0243","PG COUNTY"
"24-0002944","2024 Dec 12 11:15:05 AM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Hyattsville City Police","20781","I","A1","01381","HYATTSVILLE"
"25-0008476","2025 Feb 19 09:30:54 AM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Prince George's County Police","20783","I","A7","0104","PG COUNTY"
"24-0069207","2024 Nov 18 06:30:00 PM","Stolen Vehicle","240","Property","false","Parking Lot/Garage","Prince George's County Police","20737","I","B4","0236","PG COUNTY"
"25-0027097","2025 May 21 08:45:00 AM","Stolen Vehicle","240","Property","true","Residence / Home","Prince George's County Police","20740","I","B7","0205","COLLEGE PARK"
"24-0051529","2024 Sep 01 12:01:00 AM","Stolen Vehicle","240","Property","true","Highway/Road/Alley","Prince George's County Police","20737","I","B4","0234","PG COUNTY"
"24-0002293","2024 Sep 25 02:39:02 PM","Stolen Vehicle","240","Property","true","Parking Lot/Garage","Hyattsville City Police","20782","I","C3","01603","HYATTSVILLE"
"25-0002288","2025 Sep 01 07:25:59 PM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Hyattsville City Police","20782","I","C3","01763","HYATTSVILLE"
"26-0010049","2026 Feb 26 09:00:00 PM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Prince George's County Police","20783","I","A6","0111","PG COUNTY"
"26-0020061","2026 Apr 16 09:48:00 AM","Stolen Vehicle","240","Property","true","Residence / Home","Prince George's County Police","20783","I","A6","0118","PG COUNTY"
"25-0034699","2025 Jun 25 10:30:00 PM","Stolen Vehicle","240","Property","true","Residence / Home","Prince George's County Police","20903","I","A4","0156","PG COUNTY"
"26-0028744","2026 May 30 01:00:00 AM","Stolen Vehicle","240","Property","true","Highway / Road / Alley","Prince George's County Police","20783","I","A3","0125","PG COUNTY"
"26-0011907","2026 Mar 08 09:00:00 PM","Stolen Vehicle","240","Property","true","Highway / Road / Alley","Prince George's County Police","20706","I","B5","0256","PG COUNTY"
"26-0043667","2026 Aug 15 09:00:00 AM","Stolen Vehicle","240","Property","true","Park / Playground","Prince George's County Police","20740","I","B7","0202","COLLEGE PARK"
"25-0029988","2024 Sep 19 02:00:00 PM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Prince George's County Police","20740","I","B7","0106","COLLEGE PARK"
"24-0053304","2024 Sep 09 08:00:32 AM","Stolen Vehicle","240","Property","true","Park/Playground","Prince George's County Police","20782","I","A2","0135","PG COUNTY"
"24-0076936","2024 Dec 05 05:47:12 PM","Stolen Vehicle","240","Property","true","Highway / Road / Alley","Prince George's County Police","20737","I","B4","0236","PG COUNTY"
"25-0055475","2025 Oct 04 08:00:22 PM","Stolen Vehicle","240","Property","true","Highway / Road / Alley","Prince George's County Police","20706","I","B5","0226","PG COUNTY"
"25-0056301","2025 Oct 08 05:00:00 PM","Stolen Vehicle","240","Property","true","Residence / Home","Prince George's County Police","20785","I","B1","0246","PG COUNTY"
"25-0000606","2025 Mar 16 12:48:00 AM","Stolen Vehicle","240","Property","false","Parking Lot / Garage","Greenbelt Police","20770","I","GB2","0207","GREENBELT"
"25-0056601","2025 Aug 12 11:52:00 AM","Stolen Vehicle","240","Property","true","Other / Unknown","Prince George's County Police","20784","I","B4","0236","NEW CARROLLTON"
"26-0023578","2026 May 03 11:00:00 PM","Stolen Vehicle","240","Property","true","Residence / Home","Prince George's County Police","20783","I","A3","0124","PG COUNTY"
"25-0048550","2025 Aug 29 03:00:00 PM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Prince George's County Police","20740","I","B7","0103","PG COUNTY"
"26-0034094","2026 Jun 26 09:00:00 PM","Stolen Vehicle","240","Property","true","Highway / Road / Alley","Prince George's County Police","20737","I","B3","0233","PG COUNTY"
"25-0002011","2025 Jan 12 09:40:00 PM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Prince George's County Police","20783","I","A6","0111","PG COUNTY"
"25-0003285","2025 Dec 27 02:00:00 PM","Stolen Vehicle","240","Property","true","Highway / Road / Alley","Hyattsville City Police","20782","I","B4","01324","HYATTSVILLE"
"25-0029330","2025 May 31 09:25:24 AM","Stolen Vehicle","240","Property","true","Highway / Road / Alley","Prince George's County Police","20785","I","B1","0262","PG COUNTY"
"26-0008051","2026 Feb 15 11:00:00 PM","Stolen Vehicle","240","Property","true","Highway / Road / Alley","Prince George's County Police","20737","I","B3","0232","PG COUNTY"
"26-0039643","2026 Jul 25 09:00:00 PM","Stolen Vehicle","240","Property","true","Highway / Road / Alley","Prince George's County Police","20737","I","B3","0232","RIVERDALE PARK"
"26-0009296","2026 Feb 22 03:00:00 PM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Prince George's County Police","20784","I","B2","0243","PG COUNTY"
"25-0054279","2025 Sep 28 06:00:00 PM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Prince George's County Police","20782","I","A5","0175","PG COUNTY"
"24-0063259","2024 Oct 23 07:00:00 PM","Stolen Vehicle","240","Property","false","Highway/Road/Alley","Prince George's County Police","20782","I","A2","0126","PG COUNTY"
"24-0063931","2024 Oct 27 12:59:10 AM","Stolen Vehicle","240","Property","true","Parking Lot/Garage","Prince George's County Police","20740","I","B7","0970","COLLEGE PARK"
"24-0067107","2024 Nov 08 09:00:00 PM","Stolen Vehicle","240","Property","true","Parking Lot/Garage","Prince George's County Police","20903","I","A7","0104","PG COUNTY"
"24-0002476","2024 Sep 26 03:00:00 PM","Stolen Vehicle","240","Property","true","Parking Lot/Garage","Greenbelt Police","20770","I","GB2","02071","GREENBELT"
"26-0033564","2026 Jun 24 02:00:57 PM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Prince George's County Police","20782","I","A2","0131","PG COUNTY"
"24-0061159","2024 Oct 14 04:00:42 PM","Stolen Vehicle","240","Property","true","Parking Lot/Garage","Prince George's County Police","20782","I","A5","0175","PG COUNTY"
"26-0022845","2026 Apr 29 11:30:00 PM","Stolen Vehicle","240","Property","true","Rental Storage Facility","Prince George's County Police","20782","I","A2","0135","PG COUNTY"
"26-0037983","2026 Jul 16 09:00:00 PM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Prince George's County Police","20740","I","B7","0205","COLLEGE PARK"
"25-0040305","2025 Jul 21 09:00:00 PM","Stolen Vehicle","240","Property","true","Residence / Home","Prince George's County Police","20710","I","B2","0243","PG COUNTY"
"24-0071604","2024 Nov 29 07:16:42 PM","Stolen Vehicle","240","Property","true","Highway/Road/Alley","Prince George's County Police","20783","I","A4","0110","PG COUNTY"
"25-0006835","2025 Feb 07 06:30:00 PM","Stolen Vehicle","240","Property","false","Parking Lot / Garage","Prince George's County Police","20784","I","B5","0238","PG COUNTY"
"24-0002141","2024 Sep 08 02:00:00 AM","Stolen Vehicle","240","Property","true","Highway/Road/Alley","Hyattsville City Police","20781","I","A1","01361","HYATTSVILLE"
"26-0025499","2026 May 14 07:30:00 AM","Stolen Vehicle","240","Property","true","Residence / Home","Prince George's County Police","20783","I","A6","0114","PG COUNTY"
"26-0001638","2026 Jun 29 07:15:00 PM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Hyattsville City Police","20782","I","B3","01643","HYATTSVILLE"
"25-0002649","2025 Jan 15 09:30:00 PM","Stolen Vehicle","240","Property","true","Residence / Home","Prince George's County Police","20784","I","B5","0238","PG COUNTY"
"24-0002232","2024 Sep 01 01:30:00 PM","Stolen Vehicle","240","Property","true","Parking Lot/Garage","Greenbelt Police","20770","I","GB2","0207","GREENBELT"
"25-0054226","2025 Sep 28 09:29:00 PM","Stolen Vehicle","240","Property","true","Residence / Home","Prince George's County Police","20740","I","B6","0970","COLLEGE PARK"
"25-0002303","2025 Sep 02 11:23:00 PM","Stolen Vehicle","240","Property","true","Residence / Home","Hyattsville City Police","20782","I","C3","01603","HYATTSVILLE"
"25-0003114","2025 Dec 09 04:00:00 PM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Hyattsville City Police","20782","I","B3","01643","HYATTSVILLE"
"26-0022118","2026 Apr 26 10:00:00 PM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Prince George's County Police","20782","I","A5","0175","PG COUNTY"
"25-0016416","2025 Mar 29 09:30:00 PM","Stolen Vehicle","240","Property","true","Highway / Road / Alley","Prince George's County Police","20912","I","A3","0116","PG COUNTY"
"25-0052146","2025 Sep 19 05:40:00 AM","Stolen Vehicle","240","Property","true","Residence / Home","Prince George's County Police","20706","I","B5","0226","PG COUNTY"
"25-0005351","2025 Jan 30 03:27:00 PM","Stolen Vehicle","240","Property","false","Parking Lot / Garage","Prince George's County Police","20784","I","B1","0246","PG COUNTY"
"25-0007955","2025 Feb 13 07:00:00 PM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Prince George's County Police","20737","I","B3","0225","PG COUNTY"
"25-0030105","2025 Jun 03 05:00:00 PM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Prince George's County Police","20706","I","B5","0226","PG COUNTY"
"26-0042985","2026 Aug 12 06:40:00 PM","Stolen Vehicle","240","Property","true","Highway / Road / Alley","Prince George's County Police","20903","I","A7","0157","PG COUNTY"
"25-0039139","2025 Jul 16 07:00:00 PM","Stolen Vehicle","240","Property","true","Residence / Home","Prince George's County Police","20783","I","A3","0125","PG COUNTY"
"24-0002282","2024 Sep 07 01:00:00 AM","Stolen Vehicle","240","Property","true","Parking Lot/Garage","Greenbelt Police","20770","I","GB2","0207","GREENBELT"
"26-0000449","2026 Mar 19 11:00:00 PM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Bladensburg Police","20710","I","B2","02411","BLADENSBURG"
"25-0060451","2025 Oct 29 10:30:00 PM","Stolen Vehicle","240","Property","true","Residence / Home","Prince George's County Police","20782","I","A2","0135","PG COUNTY"
"25-0038206","2025 Jul 12 07:00:00 PM","Stolen Vehicle","240","Property","true","Highway / Road / Alley","Prince George's County Police","20782","I","A2","0131","PG COUNTY"
"25-0000606","2025 Apr 11 01:30:00 AM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Bladensburg Police","20710","I","B28","02423","BLADENSBURG"
"24-0002962","2024 Dec 02 06:47:24 PM","Stolen Vehicle","240","Property","true","Highway / Road / Alley","Hyattsville City Police","20783","I","C3","01193","HYATTSVILLE"
"26-0017934","2026 Apr 04 12:00:00 AM","Stolen Vehicle","240","Property","true","Service / Gas Station","Prince George's County Police","20783","I","A6","0111","PG COUNTY"
"25-0062134","2025 Nov 05 05:00:00 PM","Stolen Vehicle","240","Property","false","Parking Lot / Garage","Prince George's County Police","20706","I","B5","0226","PG COUNTY"
"24-0002658","2024 Oct 15 09:41:00 PM","Stolen Vehicle","240","Property","true","Highway/Road/Alley","Greenbelt Police","20770","I","GB2","0209","GREENBELT"
"25-0002692","2025 Oct 20 08:30:00 PM","Stolen Vehicle","240","Property","true","Residence / Home","Hyattsville City Police","20782","I","B5","01655","HYATTSVILLE"
"25-0065508","2025 Nov 22 07:00:00 PM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Prince George's County Police","20740","I","B63","0219","COLLEGE PARK"
"25-0014437","2025 Mar 19 09:00:00 PM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Prince George's County Police","20740","I","B6","0214","COLLEGE PARK"
"24-0002461","2024 Oct 15 10:30:00 AM","Stolen Vehicle","240","Property","true","Parking Lot/Garage","Hyattsville City Police","20781","I","A1","01381","HYATTSVILLE"
"24-0002723","2024 Nov 14 02:30:00 PM","Stolen Vehicle","240","Property","true","Parking Lot/Garage","Hyattsville City Police","20782","I","C3","01763","HYATTSVILLE"
"25-0061331","2025 Nov 03 04:45:22 AM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Prince George's County Police","20783","I","A4","0110","PG COUNTY"
"26-0030088","2026 Jun 05 10:00:00 PM","Stolen Vehicle","240","Property","true","Highway / Road / Alley","Prince George's County Police","20783","I","A6","0114","PG COUNTY"
"25-0003065","2025 Jan 17 11:37:00 PM","Stolen Vehicle","240","Property","true","Highway / Road / Alley","Prince George's County Police","20740","I","B6","0266","PG COUNTY"
"25-0065565","2025 Nov 24 03:30:47 AM","Stolen Vehicle","240","Property","true","Highway / Road / Alley","Prince George's County Police","20782","I","A6","0118","PG COUNTY"
"24-0073743","2024 Dec 11 12:00:50 AM","Stolen Vehicle","240","Property","true","Highway/Road/Alley","Prince George's County Police","20783","I","A4","0110","PG COUNTY"
"25-0068626","2025 Dec 11 01:37:27 AM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Prince George's County Police","20782","I","A2","0135","PG COUNTY"
"25-0005250","2025 Jan 29 11:00:34 PM","Stolen Vehicle","240","Property","true","Highway / Road / Alley","Prince George's County Police","20706","I","B5","0256","PG COUNTY"
"25-0007381","2025 Feb 10 03:30:00 PM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Prince George's County Police","20740","I","B7","0158","COLLEGE PARK"
"25-0000016","2025 Jan 01 07:08:52 PM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Hyattsville City Police","20782","I","B3","01643","HYATTSVILLE"
"26-0000344","2026 Jan 25 12:00:00 PM","Stolen Vehicle","240","Property","true","Highway / Road / Alley","Hyattsville City Police","20782","I","C3","01603","HYATTSVILLE"
"26-0000707","2026 Apr 01 01:50:00 AM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Greenbelt Police","20770","I","GB2","0207","GREENBELT"
"26-0031568","2026 Jun 12 08:00:00 PM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Prince George's County Police","20912","I","A3","0124","PG COUNTY"
"25-0001408","2025 Jun 19 08:00:00 PM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Greenbelt Police","20770","I","GB2","0207","GREENBELT"
"24-0002637","2024 Oct 13 12:00:00 AM","Stolen Vehicle","240","Property","true","Parking Lot/Garage","Greenbelt Police","20770","I","GB2","0207","GREENBELT"
"26-0000355","2026 Jan 12 10:00:00 PM","Stolen Vehicle","240","Property","true","Highway / Road / Alley","Bladensburg Police","20710","I","B28","02421","BLADENSBURG"
"24-0063714","2024 Oct 25 11:08:48 PM","Stolen Vehicle","240","Property","true","Parking Lot/Garage","Bladensburg Police","20710","I","B28","0265","BLADENSBURG"
"25-0066992","2025 Dec 01 04:00:00 PM","Stolen Vehicle","240","Property","true","Residence / Home","Prince George's County Police","20782","I","A6","0118","PG COUNTY"
"24-0055118","2024 Sep 18 03:55:00 AM","Stolen Vehicle","240","Property","true","Parking Lot/Garage","Prince George's County Police","20783","I","A7","0104","PG COUNTY"
"24-0056234","2024 Sep 23 01:00:00 AM","Stolen Vehicle","240","Property","true","Parking Lot/Garage","Prince George's County Police","20782","I","A5","0175","PG COUNTY"
"25-0008428","2025 Feb 17 04:17:00 AM","Stolen Vehicle","240","Property","true","Highway / Road / Alley","Prince George's County Police","20782","I","A2","0126","PG COUNTY"
"26-0009620","2026 Feb 24 08:00:00 PM","Stolen Vehicle","240","Property","true","Residence / Home","Prince George's County Police","20737","I","B3","0233","PG COUNTY"
"25-0001403","2025 Sep 06 10:00:00 PM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Bladensburg Police","20710","I","B28","02423","BLADENSBURG"
"26-0035058","2026 Jul 01 10:00:00 PM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Prince George's County Police","20740","I","B7","0205","COLLEGE PARK"
"25-0064936","2025 Nov 20 08:00:00 AM","Stolen Vehicle","240","Property","false","Residence / Home","Prince George's County Police","20782","I","B6","0120","PG COUNTY"
"25-0003923","2025 Jan 23 05:00:00 AM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Prince George's County Police","20781","I","B3","0239","PG COUNTY"
"25-0030647","2025 Jun 05 05:00:00 AM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Prince George's County Police","20782","I","A5","0175","PG COUNTY"
"26-0039747","2026 Jul 27 02:00:03 AM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Prince George's County Police","20783","I","A3","0113","PG COUNTY"
"26-0034114","2026 Jun 26 09:00:00 PM","Stolen Vehicle","240","Property","true","Highway / Road / Alley","Prince George's County Police","20783","I","A6","0114","PG COUNTY"
"26-0007720","2026 Feb 13 09:00:00 PM","Stolen Vehicle","240","Property","false","Highway / Road / Alley","Prince George's County Police","20782","I","A2","0126","PG COUNTY"
"26-0030447","2026 Jun 08 10:35:00 AM","Other Theft","23C","Property","true","Convenience Store","Prince George's County Police","20784","I","B5","0238","PG COUNTY"
"26-0030481","2026 Jun 08 02:00:00 PM","Other Theft","23C","Property","true","Grocery / Supermarket","Prince George's County Police","20744","VII","W1","0626","PG COUNTY"
"26-0030550","2026 Jun 07 11:00:29 AM","Other Theft","23H","Property","true","Parking Lot / Garage","Prince George's County Police","20783","I","A3","0113","PG COUNTY"
"26-0030632","2026 Jun 09 09:40:32 AM","Other Theft","23C","Property","true","Convenience Store","Prince George's County Police","20743","VIII","H2","0415","PG COUNTY"
"26-0030634","2026 May 30 09:00:00 AM","Other Theft","26A","Property","true","Restaurant","Prince George's County Police","20783","I","A3","0125","PG COUNTY"
"26-0030787","2026 Jun 10 12:00:11 AM","Other Theft","23C","Property","true","Service / Gas Station","Prince George's County Police","20748","V","F1","0618","PG COUNTY"
"26-0031131","2026 Jun 11 03:30:00 PM","Other Theft","23C","Property","true","Convenience Store","Prince George's County Police","20783","I","A3","0113","PG COUNTY"
"26-0031161","2026 Jun 11 06:05:00 PM","Other Theft","23C","Property","true","Department / Discount Store","Prince George's County Police","20745","IX","J41","0657","PG COUNTY"
"26-0031224","2026 Jun 12 06:00:00 AM","Other Theft","23C","Property","true","Convenience Store","Prince George's County Police","20743","VIII","H1","0404","PG COUNTY"
"26-0031362","2026 Jun 12 07:05:00 PM","Other Theft","23C","Property","true","Grocery / Supermarket","Prince George's County Police","20774","II","E2","0858","PG COUNTY"
"26-0031373","2026 Jun 12 07:30:00 PM","Other Theft","23C","Property","true","Department / Discount Store","Prince George's County Police","20720","II","D5","0843","PG COUNTY"
"26-0031422","2026 Jun 13 12:00:01 AM","Other Theft","23C","Property","true","Convenience Store","Prince George's County Police","20744","IV","J4","0610","PG COUNTY"
"26-0031535","2026 Jun 13 03:54:00 PM","Other Theft","23C","Property","true","Grocery / Supermarket","Prince George's County Police","20745","IV","J5","0656","PG COUNTY"
"26-0031553","2026 Jun 13 06:45:47 PM","Other Theft","23C","Property","true","Department / Discount Store","Prince George's County Police","20747","VIII","H2","0441","PG COUNTY"
"26-0031678","2026 Jun 14 02:50:00 PM","Other Theft","23C","Property","true","Department / Discount Store","Prince George's County Police","20745","IV","J5","0656","PG COUNTY"
"26-0031728","2026 Jun 14 07:54:01 PM","Other Theft","23C","Property","true","Convenience Store","Prince George's County Police","20783","I","A3","0113","PG COUNTY"
"26-0031825","2026 Jun 15 09:22:51 AM","Other Theft","23C","Property","true","Department / Discount Store","Prince George's County Police","20774","II","E3","0702","PG COUNTY"
"26-0031904","2026 Jun 15 06:13:12 PM","Other Theft","23C","Property","true","Convenience Store","Prince George's County Police","20785","III","G6","0307","PG COUNTY"
"26-0032010","2026 May 21 11:00:00 AM","Other Theft","23H","Property","true","Highway / Road / Alley","Prince George's County Police","20705","VI","C3","0929","PG COUNTY"
"26-0032095","2026 Jun 16 06:45:00 PM","Other Theft","23C","Property","true","Liquor Store","Prince George's County Police","20748","IV","K5","0608","PG COUNTY"
"26-0032135","2026 Jun 16 11:02:00 PM","Other Theft","23C","Property","true","Convenience Store","Prince George's County Police","20784","I","B4","0234","PG COUNTY"
"26-0032205","2026 Jun 17 10:57:20 AM","Other Theft","23C","Property","true","Department / Discount Store","Prince George's County Police","20748","IV","K3","0508","PG COUNTY"
"26-0032214","2026 Jun 12 12:00:00 PM","Other Theft","23H","Property","true","Residence / Home","Prince George's County Police","20785","III","G5","0332","PG COUNTY"
"26-0032248","2026 Jun 17 10:00:00 AM","Other Theft","23C","Property","true","Service / Gas Station","Prince George's County Police","20735","V","F3","0731","PG COUNTY"
"26-0032279","2026 Jun 17 06:10:22 PM","Other Theft","23C","Property","true","Convenience Store","Prince George's County Police","20747","VIII","H2","0441","PG COUNTY"
"26-0032307","2026 Jun 17 09:17:00 PM","Other Theft","23C","Property","true","Department / Discount Store","Prince George's County Police","20720","II","D5","0843","PG COUNTY"
"26-0032417","2026 Jun 02 02:12:00 PM","Other Theft","23H","Property","true","Residence / Home","Prince George's County Police","20721","II","D6","0846","PG COUNTY"
"26-0032467","2026 Jun 18 04:02:00 PM","Other Theft","23C","Property","true","Grocery / Supermarket","Prince George's County Police","20607","VII","W2","0649","PG COUNTY"
"26-0032734","2026 Jun 20 01:10:00 AM","Other Theft","23C","Property","true","Service / Gas Station","Prince George's County Police","20748","V","F1","0618","PG COUNTY"
"26-0032964","2026 Jun 21 09:00:00 AM","Other Theft","23H","Property","true","Gambling Facility - Casino, Race Track, etc.","Prince George's County Police","20745","IX","J41","6010","PG COUNTY"
"26-0033193","2026 Jun 22 03:24:39 PM","Other Theft","23C","Property","true","Department / Discount Store","Prince George's County Police","20743","VIII","H1","0408","PG COUNTY"
"26-0033221","2026 Jun 22 06:06:45 PM","Other Theft","23C","Property","true","Convenience Store","Prince George's County Police","20748","IV","K3","0508","PG COUNTY"
"26-0033268","2026 Jun 22 07:55:30 PM","Other Theft","23C","Property","true","Grocery / Supermarket","Prince George's County Police","20774","II","E2","0858","PG COUNTY"
"25-0015008","2025 Mar 22 02:00:00 PM","Stolen Vehicle","240","Property","true","Residence / Home","Prince George's County Police","20784","I","B2","0243","PG COUNTY"
"25-0071657","2025 Dec 28 01:40:00 AM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Prince George's County Police","20784","I","B51","0272","NEW CARROLLTON"
"25-0046536","2025 Aug 22 12:39:00 AM","Stolen Vehicle","240","Property","true","Residence / Home","Prince George's County Police","20785","I","B1","0259","PG COUNTY"
"25-0002506","2025 Oct 28 03:00:00 PM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Greenbelt Police","20770","I","GB2","0207","GREENBELT"
"25-0033302","2025 Jun 18 06:06:10 PM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Prince George's County Police","20783","I","A4","0110","PG COUNTY"
"25-0052137","2025 Sep 18 06:50:00 PM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Prince George's County Police","20740","I","B7","0103","PG COUNTY"
"26-0017598","2026 Apr 03 06:00:06 PM","Stolen Vehicle","240","Property","true","Residence / Home","Prince George's County Police","20740","I","B63","0206","COLLEGE PARK"
"25-0062982","2025 Nov 10 08:00:00 PM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Prince George's County Police","20912","I","A3","0124","PG COUNTY"
"25-0000953","2025 Jan 05 08:00:10 PM","Stolen Vehicle","240","Property","true","Parking Lot / Garage","Prince George's County Police","20782","I","A2","0131","PG COUNTY"
"26-0000053","2026 Jan 07 11:34:31 AM","Stolen Vehicle","240","Property","false","Parking Lot / Garage","Hyattsville City Police","20781","I","A1","01301","HYATTSVILLE"
"25-0019664","2025 Apr 15 01:00:00 AM","Stolen Vehicle","240","Property","false","Parking Lot / Garage","Prince George's County Police","20783","I","A3","0125","PG COUNTY"
