"CaseNumber","OccurredOn","Offense","Offense_IBR_Code","Offense_IBR_CrimeAgainst","OffenseCompleted","LocationType","ReportingAgency","PostalCode","Division","Beat","ReportingArea","Municipality"
"25-0008344","2025 Feb 16 06:33:52 PM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20785","III","G6","0308","PG COUNTY"
"25-0007852","2025 Feb 13 04:45:00 PM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20743","III","G1","0321","PG COUNTY"
"25-0038190","2025 Jul 12 08:16:00 PM","Murder","09A","Person","true","Parking Lot / Garage","Prince George's County Police","20745","IV","J1","0524","PG COUNTY"
"26-0000984","2026 Jan 03 02:10:00 AM","Murder","09A","Person","true","Parking Lot / Garage","Prince George's County Police","20748","IV","K3","0508","PG COUNTY"
"26-0005824","2026 Feb 03 09:18:27 PM","Murder","09A","Person","true","Parking Lot / Garage","Prince George's County Police","20745","IV","J5","0656","PG COUNTY"
"26-0033611","2026 Jun 24 06:20:00 PM","Murder","09A","Person","true","Convenience Store","Prince George's County Police","20745","IV","J1","0524","PG COUNTY"
"25-0049954","2025 Sep 08 07:30:07 AM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20744","IV","J4","0610","PG COUNTY"
"25-0029112","2025 May 30 09:59:45 AM","Murder","09A","Person","true","Convenience Store","Prince George's County Police","20748","V","F1","0618","PG COUNTY"
"24-0070954","2024 Nov 26 09:07:00 PM","Murder","09A","Person","true","Highway/Road/Alley","Prince George's County Police","20708","VI","C4","0916","PG COUNTY"
"25-0051222","2025 Sep 14 01:40:57 PM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20744","VII","W1","0626","PG COUNTY"
"26-0035607","2026 Jul 04 10:09:00 PM","Murder","09A","Person","true","Parking Lot / Garage","Prince George's County Police","20748","VIII","H1","0409","PG COUNTY"
"24-0067168","2024 Nov 08 05:47:00 PM","Murder","09A","Person","true","Park/Playground","Prince George's County Police","20747","VIII","H3","0412","PG COUNTY"
"25-0029980","2025 Jun 03 12:38:17 PM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20746","VIII","H5","0427","PG COUNTY"
"25-0001151","2025 May 24 10:00:00 PM","Rape","11A","Person","true","Residence / Home","Greenbelt Police","20770","I","GB2","0207","GREENBELT"
"25-0044705","2025 May 04 04:00:00 PM","Rape","11B","Person","true","Residence / Home","Prince George's County Police","20740","I","B6","0266","PG COUNTY"
"26-0031837","2024 Sep 01 12:00:00 AM","Rape","11C","Person","true","Residence / Home","Prince George's County Police","20782","I","A6","0118","PG COUNTY"
